ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2024-11-06,1.7447,1.08,0.0187,
BAC,2024-11-07,1.7727,1.6,0.028,
BAC,2024-11-08,1.81,2.11,0.0373,
BAC,2024-11-12,1.7727,-2.06,-0.0373,
BAC,2024-11-13,1.7727,0.0,0.0,
BAC,2024-11-14,1.8193,2.63,0.0467,
BAC,2024-11-15,1.782,-2.05,-0.0373,
BAC,2024-11-18,1.9593,9.95,0.1773,
BAC,2024-11-19,1.9593,0.0,0.0,
BAC,2024-11-20,1.908,-2.62,-0.0513,
BAC,2024-11-21,1.9966,4.65,0.0886,
BAC,2024-11-22,1.9313,-3.27,-0.0653,
BAC,2024-11-25,1.9481,0.87,0.0168,
BAC,2024-11-26,1.9425,-0.29,-0.0056,
BAC,2024-11-27,1.866,-3.94,-0.0765,
BAC,2024-11-28,1.8753,0.5,0.0093,
BAC,2024-11-29,1.8053,-3.73,-0.07,
BAC,2024-12-02,1.838,1.81,0.0326,
BAC,2024-12-03,1.9593,6.6,0.1213,
BAC,2024-12-04,1.9359,-1.19,-0.0233,
BAC,2024-12-05,1.9033,-1.69,-0.0327,
BAC,2024-12-06,1.866,-1.96,-0.0373,
BAC,2024-12-09,1.9593,5.0,0.0933,
BAC,2024-12-10,1.9593,0.0,0.0,
BAC,2024-12-11,1.9313,-1.43,-0.028,
BAC,2024-12-12,1.9107,-1.06,-0.0205,
BAC,2024-12-13,1.9126,0.1,0.0019,
BAC,2024-12-16,1.9378,1.32,0.0252,
BAC,2024-12-17,1.9126,-1.3,-0.0252,
BAC,2024-12-18,1.894,-0.98,-0.0187,
BAC,2024-12-19,1.922,1.48,0.028,
BAC,2024-12-20,1.894,-1.46,-0.028,
BAC,2024-12-23,1.9028,0.47,0.0089,
BAC,2024-12-27,1.9593,2.97,0.0565,
BAC,2024-12-30,2.0152,2.86,0.056,
BAC,2025-01-02,2.1384,6.11,0.1231,
BAC,2025-01-03,2.0712,-3.14,-0.0672,
BAC,2025-01-07,2.0992,1.35,0.028,
BAC,2025-01-08,2.1361,1.76,0.0369,
BAC,2025-01-09,2.1347,-0.07,-0.0014,
BAC,2025-01-10,2.0992,-1.66,-0.0355,
BAC,2025-01-13,2.0246,-3.56,-0.0746,
BAC,2025-01-14,2.0619,1.84,0.0373,
BAC,2025-01-15,2.0059,-2.71,-0.056,
BAC,2025-01-16,1.9742,-1.58,-0.0317,
BAC,2025-01-17,1.9686,-0.28,-0.0056,
BAC,2025-01-20,1.9966,1.42,0.028,
BAC,2025-01-21,1.9406,-2.8,-0.056,
BAC,2025-01-22,1.9686,1.44,0.028,
BAC,2025-01-23,1.9798,0.57,0.0112,
BAC,2025-01-24,1.9583,-1.08,-0.0215,
BAC,2025-01-27,1.9406,-0.9,-0.0177,
BAC,2025-01-28,1.9313,-0.48,-0.0093,
BAC,2025-01-29,1.9593,1.45,0.028,
BAC,2025-01-30,1.9481,-0.57,-0.0112,
BAC,2025-01-31,1.9639,0.81,0.0158,
BAC,2025-02-03,1.9126,-2.61,-0.0513,
BAC,2025-02-04,1.9499,1.95,0.0373,
BAC,2025-02-05,1.9593,0.48,0.0093,
BAC,2025-02-06,2.1179,8.1,0.1586,
BAC,2025-02-07,2.0992,-0.88,-0.0187,
BAC,2025-02-10,2.1645,3.11,0.0653,
BAC,2025-02-11,2.0945,-3.23,-0.07,
BAC,2025-02-12,2.1552,2.9,0.0606,
BAC,2025-02-13,2.3045,6.93,0.1493,
BAC,2025-02-14,2.5004,8.5,0.1959,
BAC,2025-02-17,2.7057,8.21,0.2053,
BAC,2025-02-18,2.603,-3.79,-0.1026,
BAC,2025-02-19,2.5844,-0.72,-0.0187,
BAC,2025-02-20,2.687,3.97,0.1026,
BAC,2025-02-21,2.8782,7.12,0.1913,
BAC,2025-02-24,2.799,-2.75,-0.0793,
BAC,2025-02-25,2.673,-4.5,-0.126,
BAC,2025-02-26,2.7616,3.32,0.0886,
BAC,2025-02-27,2.7896,1.01,0.028,
BAC,2025-02-28,2.7896,0.0,0.0,
BAC,2025-03-03,2.6315,-5.67,-0.1581,
BAC,2025-03-04,2.5191,-4.27,-0.1124,
BAC,2025-03-05,2.5704,2.04,0.0513,
BAC,2025-03-06,2.7952,8.75,0.2249,
BAC,2025-03-07,2.8923,3.47,0.097,
BAC,2025-03-10,2.8829,-0.32,-0.0093,
BAC,2025-03-11,2.9669,2.91,0.084,
BAC,2025-03-12,3.4987,17.92,0.5318,
BAC,2025-03-13,3.0695,-12.27,-0.4292,
BAC,2025-03-14,2.9342,-4.41,-0.1353,
BAC,2025-03-17,3.0135,2.7,0.0793,
BAC,2025-03-18,2.8451,-5.59,-0.1684,
BAC,2025-03-19,2.7057,-4.9,-0.1395,
BAC,2025-03-20,2.7243,0.69,0.0187,
BAC,2025-03-21,2.6217,-3.77,-0.1026,
BAC,2025-03-24,2.5657,-2.13,-0.056,
BAC,2025-03-25,2.416,-5.84,-0.1498,
BAC,2025-03-26,2.4724,2.34,0.0564,
BAC,2025-03-27,2.4817,0.38,0.0093,
BAC,2025-03-28,2.5004,0.75,0.0187,
BAC,2025-03-31,2.5004,0.0,0.0,
BAC,2025-04-01,2.3325,-6.72,-0.1679,
BAC,2025-04-02,2.3138,-0.8,-0.0187,
BAC,2025-04-03,2.2392,-3.23,-0.0746,
BAC,2025-04-04,2.2018,-1.67,-0.0373,
BAC,2025-04-07,2.0526,-6.78,-0.1493,
BAC,2025-04-08,2.0712,0.91,0.0187,
